id,score,participant.label,player.cq1,player.cq2,player.cq3,player.cq4,player.cq5,player.cq6,player.cq7
2410205,4,A10205,3,1,5,2,2,100,24
2410410,3,A10410,3,1,2,2,3,100,24
2410423,1,A10423,1,3,5,4,4,100,24
2410412,1,A10412,3,4,2,3,4,35,24
2410404,5,A10404,3,1,5,2,5,100,24
2410417,1,A10417,3,3,1,3,4,100,100
2410401,4,A10401,3,4,5,2,5,100,24
2410403,5,A10403,3,1,5,2,5,100,24
2410411,1,A10411,4,4,3,2,1,100,24
2410409,1,A10409,3,5,3,4,1,100,24
2410414,4,A10414,3,1,5,1,5,100,24
2410415,3,A10415,3,3,5,2,4,20,24
2410419,3,A10419,3,2,5,2,1,100,24
2410413,5,A10413,3,1,5,2,5,100,24
2410422,4,A10422,3,1,5,2,1,100,24
2410407,3,A10407,3,1,3,1,5,5,24
2410421,3,A10421,3,1,5,4,3,100,24
2410402,2,A10402,5,3,5,1,5,100,24
2410408,5,A10408,3,1,5,2,5,100,24
2410406,4,A10406,3,1,5,2,4,5,12
2410424,5,A10424,3,1,5,2,5,60,24
2410418,3,A10418,3,2,5,2,4,100,24
2410420,0,A10420,5,3,2,5,1,100,24
2410509,1,A10509,5,3,5,4,3,3,3
2410503,1,A10503,5,3,5,4,3,100,22
2410514,2,A10514,3,4,5,5,1,20,28
2410522,4,A10522,3,2,5,2,5,5,24
2410506,3,A10506,3,2,5,2,1,100,24
2410521,3,A10521,2,4,5,2,5,5,12
2410516,2,A10516,2,3,2,2,5,100,24
2410524,2,A10524,3,2,1,2,4,100,24
2410511,5,A10511,3,1,5,2,5,100,24
2410515,2,A10515,3,3,3,2,3,20,24
2410502,2,A10502,4,4,5,2,1,5,12
2410508,1,A10508,3,3,2,3,3,100,24
2410517,4,A10517,3,2,5,2,5,5,24
2410510,3,A10510,3,2,5,2,3,500,30
2410523,4,A10523,3,3,5,2,5,100,24
2410501,1,A10501,5,3,5,3,4,100,24
2410512,4,A10512,3,1,5,2,2,5,12
2410507,3,A10507,5,2,5,2,5,100,24
2410513,2,A10513,5,3,5,2,1,100,24
2410505,4,A10505,3,3,5,2,5,100,24
2410504,3,A10504,4,4,5,2,5,100,24
2410519,5,A10519,3,1,5,2,5,100,24
1120215,4,B20215,3,2,5,2,5,5,47
1120229,5,B20229,3,1,5,2,5,5,47
1120224,2,B20224,5,5,5,2,3,100,24
1120228,1,B20228,3,3,3,3,3,100,24
1120219,4,B20219,3,1,5,2,1,100,4
1120210,4,B20210,3,1,5,2,3,5,12
1120202,5,B20202,3,1,5,2,5,100,47
1120221,4,B20221,3,1,5,2,3,100,14
1120212,1,B20212,4,4,3,2,3,100,25
1120226,1,B20226,2,4,5,5,2,1,12
1120207,3,B20207,3,4,5,2,1,100,24
1120211,3,B20211,3,3,5,2,1,100,4
1120217,5,B20217,3,1,5,2,5,100,47
1120216,2,B20216,5,4,5,2,1,20,12
1120222,0,B20222,4,2,4,4,3,25,9
1120201,2,B20201,3,3,2,2,3,5,24
1120206,1,B20206,4,2,4,2,4,100,24
1120227,2,B20227,3,4,5,4,3,1,24
1120220,1,B20220,2,4,5,1,4,100,12
1120218,3,B20218,3,3,5,2,4,500,24
1120213,4,B20213,3,5,5,2,5,100,24
1120223,2,B20223,4,4,5,2,3,5,12
1120208,3,B20208,3,3,5,2,4,5,47
1120203,2,B20203,4,2,5,2,4,5,24
1120225,2,B20225,3,3,2,3,5,5,47
1120204,5,B20204,3,1,5,2,5,5,47
1120214,2,B20214,3,3,2,2,1,100,24
1120209,2,B20209,3,2,2,1,5,100,56
1120414,5,B20414,3,1,5,2,5,100,24
1120404,4,B20404,3,1,1,2,5,5,47
1120402,2,B20402,5,3,5,2,3,100,24
1120405,5,B20405,3,1,5,2,5,5,47
1120415,4,B20415,3,2,5,2,5,100,24
1120419,3,B20419,3,3,5,2,3,100,5
1120429,3,B20429,4,5,5,2,5,100,24
1120417,3,B20417,3,1,2,2,1,20,12
1120407,4,B20407,3,1,5,2,2,100,47
1120413,4,B20413,3,2,5,2,5,400,24
1120418,2,B20418,4,4,5,2,4,50,24
1120406,4,B20406,3,1,5,4,5,5,47
1120401,2,B20401,3,1,2,4,2,100,24
1120421,3,B20421,3,2,5,2,3,100,24
1120426,2,B20426,5,5,5,2,4,100,24
1120408,4,B20408,3,1,5,2,2,100,47
1120423,2,B20423,3,5,5,5,4,5,12
1120403,2,B20403,5,3,1,2,5,100,47
1120424,0,B20424,4,5,2,3,1,100,24
1120409,4,B20409,5,1,5,2,5,100,16
1120428,1,B20428,3,3,4,4,4,100,3
1120425,4,B20425,3,3,5,2,5,100,6
1120420,3,B20420,3,3,5,2,3,100,47
1120427,2,B20427,3,4,2,2,3,100,14
1120410,3,B20410,5,4,5,2,5,1234567,2
1120416,3,B20416,3,1,5,1,1,5,36
1120411,5,B20411,3,1,5,2,5,5,47
1120317,4,B20317,3,1,5,2,2,100,47
1120312,1,B20312,4,3,5,1,1,5,47
1120313,4,B20313,3,1,5,2,1,5,47
1120304,5,B20304,3,1,5,2,5,5,12
1120306,2,B20306,3,2,2,2,4,100,47
1120319,5,B20319,3,1,5,2,5,100,47
1120328,4,B20328,3,1,2,2,5,100,47
1120329,4,B20329,3,1,5,5,5,100,47
1120314,3,B20314,3,2,2,2,5,5,47
1120330,5,B20330,3,1,5,2,5,5,24
1120308,3,B20308,3,1,2,2,3,100,47
1120302,3,B20302,3,1,2,2,3,5,47
1120301,1,B20301,3,5,3,3,1,100,12
1120307,2,B20307,3,1,2,1,3,100,47
1120316,5,B20316,3,1,5,2,5,100,47
1120320,4,B20320,3,4,5,2,5,100,47
1120326,5,B20326,3,1,5,2,5,100,47
1120315,5,B20315,3,1,5,2,5,5,47
1120311,5,B20311,3,1,5,2,5,5,47
1120305,5,B20305,3,1,5,2,5,5,24
1120321,3,B20321,3,2,5,2,2,100,47
1120303,1,B20303,3,4,2,5,3,5,47
1120324,5,B20324,3,1,5,2,5,100,47
1120327,0,B20327,2,3,1,3,1,5,47
1120322,2,B20322,3,2,1,2,2,100,47
1120318,5,B20318,3,1,5,2,5,100,47
1120309,5,B20309,3,1,5,2,5,5,47
1120310,5,B20310,3,1,5,2,5,5,47
1120325,4,B20325,3,1,5,2,1,100,47
1120626,3,B20626,3,2,5,2,3,100,24
1120604,1,B20604,3,4,4,4,4,100,47
1120616,4,B20616,3,1,2,2,5,5,47
1120606,1,B20606,3,4,4,4,3,5,24
1120617,1,B20617,4,3,4,2,4,100,3
1120619,2,B20619,3,2,1,3,5,9,96
1120605,1,B20605,3,3,3,3,3,300,3
1120629,3,B20629,3,1,5,4,4,100,24
1120611,0,B20611,1,3,1,5,3,100,24
1120613,3,B20613,3,4,5,2,4,5,12
1120601,1,B20601,2,4,3,5,5,100,3
1120609,1,B20609,3,3,3,3,3,485,3
1120622,4,B20622,3,2,5,2,5,100,24
1120627,2,B20627,3,2,3,2,2,100,24
1120623,0,B20623,2,4,1,5,1,100,24
1120615,0,B20615,5,4,4,5,4,100,24
1120607,5,B20607,3,1,5,2,5,5,24
1120620,3,B20620,3,3,5,2,4,100,24
1120618,2,B20618,4,4,5,2,3,500,24
1120602,1,B20602,3,2,2,3,3,4567890,34689
1120625,3,B20625,3,1,5,4,4,5,47
1120621,3,B20621,3,2,5,2,4,5,47
1120614,5,B20614,3,1,5,2,5,5,47
1120608,5,B20608,3,1,5,2,5,5,24
1120628,2,B20628,3,2,3,2,3,100,96
1120624,2,B20624,3,3,2,2,1,500,96
1120612,3,B20612,3,1,3,2,3,5,47
2110111,5,L10111,3,1,5,2,5,100,24
2110124,1,L10124,3,4,1,4,3,100,24
2110120,1,L10120,3,3,3,3,3,3,3
2110104,3,L10104,4,3,5,2,5,100,24
2110112,3,L10112,3,5,5,4,5,11,24
2110118,2,L10118,3,3,5,4,2,100,24
2110109,5,L10109,3,1,5,2,5,5,24
2110115,3,L10115,3,1,5,3,4,5,24
2110123,2,L10123,3,1,2,3,3,100,24
2110113,4,L10113,3,1,5,2,1,20,24
2110117,5,L10117,3,1,5,2,5,100,8
2110119,4,L10119,3,1,5,2,3,100,24
2110121,5,L10121,3,1,5,2,5,100,24
2110125,3,L10125,3,4,5,2,4,100,24
2110116,2,L10116,4,2,5,2,1,100,24
2110106,0,L10106,5,3,3,4,3,100,24
2110110,4,L10110,3,4,5,2,5,100,24
2110107,4,L10107,3,4,5,2,5,100,24
2110114,3,L10114,3,3,5,4,5,100,24
2110108,0,L10108,5,4,3,4,2,100,24
2110105,5,L10105,3,1,5,2,5,100,47
2110101,2,L10101,5,4,1,2,5,100,24
2110102,3,L10102,3,1,5,3,1,100,24
2110413,1,L10413,4,4,4,3,5,100,24
2110415,3,L10415,5,1,5,2,1,100,24
2110402,2,L10402,5,4,5,2,4,100,24
2110409,3,L10409,3,4,5,2,2,100,24
2110407,1,L10407,1,1,1,1,1,1,12
2110422,1,L10422,1,5,3,2,3,40,23
2110420,2,L10420,5,5,5,5,5,20,38
2110403,2,L10403,3,2,5,4,1,100,24
2110416,2,L10416,3,4,5,5,1,100,24
2110421,5,L10421,3,1,5,2,5,5,47
2110411,1,L10411,5,3,5,4,1,100,24
2110408,4,L10408,3,1,5,2,2,5,24
2110406,1,L10406,1,3,1,5,5,123,111
2110401,3,L10401,3,3,5,2,4,100,24
2110418,3,L10418,3,2,5,3,5,5,5
2110412,5,L10412,3,1,5,2,5,5,47
2110423,2,L10423,2,3,5,2,4,5,24
2110414,4,L10414,3,1,5,3,5,5,24
2110419,5,L10419,3,1,5,2,5,5,47
2110320,5,L10320,3,1,5,2,5,5,12
2110303,4,L10303,3,2,5,2,5,5,47
2110301,0,L10301,1,3,1,4,4,100,24
2110310,1,L10310,3,3,2,4,2,100,24
2110305,2,L10305,2,4,5,2,1,100,24
2110317,3,L10317,2,1,4,2,5,5,47
2110306,1,L10306,1,2,3,4,5,100,24
2110313,4,L10313,3,2,5,2,5,5,47
2110319,2,L10319,3,1,4,5,4,5,47
2110322,5,L10322,3,1,5,2,5,5,37
2110316,4,L10316,3,1,4,2,5,5,47
2110312,4,L10312,3,1,4,2,5,5,47
2110323,1,L10323,1,1,1,1,1,1,1
2110311,2,L10311,3,4,4,3,5,100,47
2110318,3,L10318,3,4,5,1,5,47,24
2110302,3,L10302,2,1,5,3,5,100,24
2110307,4,L10307,3,1,5,2,3,100,24
2110315,3,L10315,3,4,5,2,1,100,24
2110309,4,L10309,3,1,5,2,4,100,76
2110321,5,L10321,3,1,5,2,5,5,47
2110205,3,L10205,4,4,5,2,5,100,47
2110208,5,L10208,3,1,5,2,5,5,47
2110216,2,L10216,3,3,4,3,5,1,365
2110221,3,L10221,2,1,5,2,4,100,24
2110217,1,L10217,2,4,1,3,5,100,1
2110218,2,L10218,3,4,5,3,2,1,24
2110207,3,L10207,3,2,5,2,1,5,27
2110201,0,L10201,4,3,4,4,2,100,36
2110215,4,L10215,3,1,4,2,5,100,24
2110203,2,L10203,3,2,5,4,1,100,24
2110214,0,L10214,5,3,2,5,4,100,48
2110206,5,L10206,3,1,5,2,5,100,27
2110202,4,L10202,3,2,5,2,5,100,9
2110223,5,L10223,3,1,5,2,5,100,24
2110204,4,L10204,3,1,5,4,5,100,12
2110220,5,L10220,3,1,5,2,5,5,47
2110210,4,L10210,3,4,5,2,5,100,24
2110209,3,L10209,3,1,5,3,3,100,24
2110213,0,L10213,4,4,2,1,3,100,24
2110219,5,L10219,3,1,5,2,5,5,47
2110212,2,L10212,3,3,5,5,4,1,12
2110211,2,L10211,2,3,5,1,5,100,365
2110222,1,L10222,3,5,2,3,2,14,24
2120108,1,L20108,4,4,5,4,1,5,4
2120118,2,L20118,3,3,5,4,4,345,365
2120102,4,L20102,3,3,5,2,5,5,24
2120113,1,L20113,3,2,3,4,4,100,24
2120121,1,L20121,1,1,1,1,1,100,24
2120101,3,L20101,2,4,5,2,5,100,24
2120107,0,L20107,2,2,4,3,4,100,24
2120114,1,L20114,5,5,5,4,2,5,47
2120117,1,L20117,3,3,2,4,3,100,24
2120109,1,L20109,4,4,5,3,2,100,24
2120105,3,L20105,3,3,5,3,5,100,24
2120110,4,L20110,3,3,5,2,5,20,12
2120112,2,L20112,3,2,5,5,1,100,47
2120122,4,L20122,3,1,1,2,5,100,3
2120106,4,L20106,3,2,5,2,5,100,16
2120116,0,L20116,1,4,3,4,3,20,24
2120111,4,L20111,3,2,5,2,5,100,24
2120104,1,L20104,2,4,5,3,4,100,24
2120120,0,L20120,1,2,1,4,3,100,24
2120313,0,L20313,4,5,3,4,3,100,24
2120305,1,L20305,2,2,5,4,2,100,24
2120321,3,L20321,3,4,5,2,3,100,24
2120317,5,L20317,3,1,5,2,5,100,47
2120304,3,L20304,3,2,5,2,4,5,24
2120301,2,L20301,5,4,5,4,5,100,12
2120318,3,L20318,3,2,5,2,3,100,12
2120316,4,L20316,3,1,5,2,2,5,47
2120315,4,L20315,4,1,5,2,5,100,16
2120303,2,L20303,3,4,3,2,1,100,24
2120312,2,L20312,4,3,2,2,5,3,24
2120306,3,L20306,3,4,5,2,1,100,24
2120310,3,L20310,3,2,5,2,1,5,16
2120319,0,L20319,5,4,3,5,4,100,24
2120308,3,L20308,3,2,5,2,3,100,24
2120311,2,L20311,4,2,5,2,3,5,24
2120302,1,L20302,5,4,5,1,2,5,24
2120307,4,L20307,3,1,5,2,4,5,47
2120309,3,L20309,3,2,5,2,2,20,24
2120413,0,L20413,5,3,3,1,3,100,24
2120403,5,L20403,3,1,5,2,5,100,36
2120407,1,L20407,2,2,2,2,1,100,24
2120410,0,L20410,2,4,2,4,3,25,24
2120411,4,L20411,3,2,5,2,5,100,12
2120401,0,L20401,2,3,4,1,3,100,106
2120406,2,L20406,3,3,5,1,1,100,24
2120418,3,L20418,3,2,5,2,1,5,24
2120415,3,L20415,3,2,5,2,3,5,47
2120416,3,L20416,3,1,5,4,1,5,47
2120420,3,L20420,1,1,5,2,4,5,47
2120405,2,L20405,3,2,5,1,2,100,24
2120419,1,L20419,5,1,1,1,1,100,12
2120402,1,L20402,5,3,5,3,4,100,24
2120421,1,L20421,2,3,1,2,4,100,24
2120414,3,L20414,3,4,5,2,1,5,12
2120417,1,L20417,4,3,5,4,3,100,12
2120412,2,L20412,2,4,5,2,4,100,24
2120206,2,L20206,5,5,5,3,5,100,24
2120208,3,L20208,3,2,5,2,3,100,24
2120219,1,L20219,3,4,3,4,3,100,96
2120217,2,L20217,3,2,3,2,3,100,24
2120210,3,L20210,3,3,5,2,4,100,24
