	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS
						
				(0.000)	(0.000)	(0.002)
64.class				-0.000***	-0.000***	0.019***
				(0.000)	(0.000)	(0.003)
time		-0.033**	-0.000		-0.031*	0.004
		(0.016)	(0.015)		(0.016)	(0.014)
High_End_FGARP		0.065**	0.051*		0.062*	0.046
		(0.033)	(0.030)		(0.031)	(0.029)
f_ccei_i			-0.327***			-0.354***
			(0.023)			(0.026)
RA_i			0.052			0.034
			(0.051)			(0.059)
Constant	0.772***	0.789***	0.987***	0.767***	0.783***	0.979***
	(0.008)	(0.010)	(0.028)	(0.012)	(0.012)	(0.031)
						
Observations	2,192	2,192	2,192	2,192	2,192	2,192
R-squared	0.496	0.498	0.526	0.502	0.504	0.533
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
Robust SE clustered by class						
