	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS
						
63.class				-0.000	-0.000	-0.001
				(0.000)	(0.000)	(0.003)
64.class				0.000***	0.000***	-0.007***
				(0.000)	(0.000)	(0.002)
time		0.036*	0.053***		0.032*	0.052***
		(0.018)	(0.018)		(0.018)	(0.019)
High_End_MPI		-0.071*	-0.071**		-0.065*	-0.067*
		(0.036)	(0.035)		(0.036)	(0.035)
one_minus_maxmpi_i			-0.233***			-0.249***
			(0.026)			(0.028)
RA_i			0.295***			0.306***
			(0.042)			(0.047)
Constant	0.736***	0.718***	0.798***	0.744***	0.727***	0.802***
	(0.007)	(0.012)	(0.031)	(0.008)	(0.010)	(0.033)
						
Observations	2,428	2,428	2,428	2,428	2,428	2,428
R-squared	0.430	0.432	0.457	0.440	0.442	0.467
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
Robust SE clustered by class						
