	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS
						
high_dummy	-0.443***	-0.412***	-0.362***	-0.437***	-0.408***	-0.354***
53.class				-0.000	-0.000	0.007**
				(0.000)	(0.000)	(0.003)
54.class				-0.000	-0.000	0.006
				(0.000)	(0.000)	(0.006)
55.class				-0.000	-0.000	-0.029***
				(0.000)	(0.000)	(0.005)
56.class				-0.000	-0.000	-0.004**
				(0.000)	(0.000)	(0.002)
57.class				-0.000	-0.000	0.013***
				(0.000)	(0.000)	(0.005)
58.class				-0.000	-0.000	0.022***
				(0.000)	(0.000)	(0.004)
59.class				-0.000	-0.000	-0.024***
				(0.000)	(0.000)	(0.006)
60.class				-0.000	-0.000	-0.006*
				(0.000)	(0.000)	(0.003)
61.class				-0.000	-0.000	0.003
				(0.000)	(0.000)	(0.007)
62.class				-0.000	-0.000	0.001
				(0.000)	(0.000)	(0.007)
63.class				-0.000	-0.000	0.012***
				(0.000)	(0.000)	(0.004)
64.class				-0.000	-0.000	-0.006**
				(0.000)	(0.000)	(0.002)
time		0.031*	0.050***		0.030	0.051***
		(0.018)	(0.018)		(0.018)	(0.018)
int_high_time		-0.062*	-0.067*		-0.059	-0.066*
		(0.036)	(0.035)		(0.036)	(0.035)
ccei_i			-0.344***			-0.369***
			(0.034)			(0.036)
RA_i			0.238***			0.251***
			(0.051)			(0.057)
Constant	0.722***	0.706***	0.913***	0.729***	0.715***	0.925***
	(0.008)	(0.012)	(0.036)	(0.011)	(0.014)	(0.040)
						
Observations	2,406	2,406	2,406	2,406	2,406	2,406
R-squared	0.378	0.380	0.404	0.389	0.391	0.416
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
Robust SE clustered by class						
