	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS
												
42.class			-0.011	-0.009			0.008	0.007			-0.015	-0.019
			(0.012)	(0.012)			(0.018)	(0.018)			(0.013)	(0.013)
43.class			-0.019*	-0.014			-0.008	-0.008			-0.016	-0.015
			(0.010)	(0.011)			(0.015)	(0.016)			(0.011)	(0.013)
44.class			0.031**	0.034***			0.084***	0.084***			0.034**	0.035**
			(0.012)	(0.013)			(0.019)	(0.019)			(0.013)	(0.014)
45.class			0.052***	0.055***			0.083***	0.083***			0.056***	0.056***
			(0.010)	(0.011)			(0.018)	(0.018)			(0.012)	(0.012)
46.class			0.065***	0.065***			0.154***	0.154***			0.094***	0.092***
			(0.013)	(0.012)			(0.020)	(0.020)			(0.015)	(0.014)
47.class			0.011	0.012			0.097***	0.097***			0.001	0.001
			(0.011)	(0.011)			(0.016)	(0.016)			(0.012)	(0.012)
48.class			0.040***	0.042***			0.139***	0.138***			0.056***	0.057***
			(0.013)	(0.014)			(0.020)	(0.020)			(0.016)	(0.016)
49.class			0.022*	0.023*			0.052**	0.052**			0.006	0.006
			(0.013)	(0.013)			(0.020)	(0.020)			(0.016)	(0.016)
50.class			0.039***	0.041***			0.058***	0.058***			0.052***	0.053***
			(0.013)	(0.013)			(0.021)	(0.020)			(0.016)	(0.016)
51.class			0.008	0.010			0.082***	0.082***			0.039***	0.038***
			(0.012)	(0.012)			(0.019)	(0.019)			(0.013)	(0.013)
52.class			0.038***	0.040***			0.056***	0.057***			0.039***	0.040***
			(0.010)	(0.010)			(0.015)	(0.016)			(0.011)	(0.011)
53.class			0.081***	0.083***			0.116***	0.115***			0.101***	0.097***
			(0.008)	(0.009)			(0.012)	(0.013)			(0.010)	(0.011)
54.class			0.096***	0.098***			0.190***	0.189***			0.140***	0.137***
			(0.009)	(0.009)			(0.013)	(0.015)			(0.011)	(0.011)
55.class			0.016**	0.017**			0.048***	0.047***			0.027***	0.026***
			(0.007)	(0.008)			(0.012)	(0.012)			(0.008)	(0.008)
56.class			0.030***	0.031***			0.065***	0.064***			0.041***	0.039***
			(0.008)	(0.008)			(0.011)	(0.011)			(0.010)	(0.010)
57.class			0.045***	0.046***			0.071***	0.072***			0.046***	0.044***
			(0.012)	(0.012)			(0.019)	(0.019)			(0.015)	(0.015)
58.class			0.037**	0.040***			0.069***	0.071***			0.050***	0.049***
			(0.014)	(0.014)			(0.021)	(0.021)			(0.017)	(0.017)
59.class			-0.106***	-0.099***			-0.052***	-0.047**			-0.110***	-0.105***
			(0.011)	(0.014)			(0.019)	(0.020)			(0.013)	(0.016)
60.class			0.048***	0.051***			0.028*	0.028			0.049***	0.048***
			(0.011)	(0.011)			(0.017)	(0.017)			(0.012)	(0.012)
61.class			0.061***	0.062***			0.105***	0.104***			0.068***	0.067***
			(0.009)	(0.009)			(0.014)	(0.014)			(0.011)	(0.010)
62.class			0.091***	0.090***			0.193***	0.191***			0.111***	0.110***
			(0.010)	(0.010)			(0.014)	(0.016)			(0.011)	(0.011)
63.class			0.050***	0.051***			0.040**	0.039**			0.073***	0.072***
			(0.012)	(0.011)			(0.018)	(0.019)			(0.013)	(0.013)
64.class			0.059***	0.059***			0.120***	0.118***			0.068***	0.065***
			(0.009)	(0.010)			(0.016)	(0.017)			(0.011)	(0.012)
mathscore_max			0.006*	0.006			0.008	0.008			0.006	0.006
			(0.004)	(0.004)			(0.007)	(0.007)			(0.005)	(0.005)
mathscore_dist			-0.003	-0.003			-0.005	-0.005			-0.005	-0.005
			(0.003)	(0.003)			(0.006)	(0.006)			(0.004)	(0.004)
o.mathscore_max_missing			-	-			-	-			-	-
												
o.mathscore_dist_missing			-	-			-	-			-	-
												
height_max			-0.001	-0.001			-0.002*	-0.002*			-0.001	-0.001
			(0.001)	(0.001)			(0.001)	(0.001)			(0.001)	(0.001)
height_dist			0.001	0.001			0.001	0.001			0.000	0.000
			(0.000)	(0.000)			(0.001)	(0.001)			(0.001)	(0.001)
1.malepair_co			-0.001	-0.000			-0.023	-0.023			-0.006	-0.005
			(0.016)	(0.016)			(0.024)	(0.024)			(0.020)	(0.020)
2.malepair_co			0.025	0.025			0.009	0.009			0.034*	0.035*
			(0.016)	(0.016)			(0.026)	(0.026)			(0.019)	(0.019)
inclass_n_friends_max			0.004**	0.004*			0.006	0.006			0.004*	0.004
			(0.002)	(0.002)			(0.004)	(0.004)			(0.003)	(0.003)
inclass_n_friends_dist			-0.006**	-0.006**			-0.007	-0.007			-0.005*	-0.005*
			(0.003)	(0.003)			(0.004)	(0.004)			(0.003)	(0.003)
inclass_popularity_max			0.001	0.001			0.001	0.001			0.002	0.002
			(0.002)	(0.002)			(0.003)	(0.003)			(0.003)	(0.003)
inclass_popularity_dist			-0.002	-0.002			-0.001	-0.001			-0.002	-0.002
			(0.003)	(0.003)			(0.003)	(0.003)			(0.003)	(0.003)
outgoing_max			-0.005	-0.005			-0.013	-0.013			-0.012*	-0.011*
			(0.006)	(0.005)			(0.009)	(0.009)			(0.006)	(0.006)
outgoing_dist			0.008	0.008			0.006	0.006			0.011**	0.011*
			(0.005)	(0.005)			(0.008)	(0.008)			(0.005)	(0.005)
o.big5_max_missing			-	-			-	-			-	-
												
o.big5_dist_missing			-	-			-	-			-	-
												
endline		-0.003		0.016		-0.024		0.035		0.154		0.160
		(0.175)		(0.183)		(0.121)		(0.121)		(0.118)		(0.121)
end_max		0.008		-0.018								
		(0.176)		(0.184)								
end_dist		0.048		0.071								
		(0.073)		(0.074)								
f_ccei_max					0.477***	0.453***	0.385***	0.388***				
					(0.064)	(0.070)	(0.062)	(0.075)				
f_ccei_dist					-0.225***	-0.226***	-0.174***	-0.173***				
					(0.030)	(0.045)	(0.033)	(0.049)				
f_end_max						0.037		-0.028				
						(0.125)		(0.126)				
f_end_dist						0.009		0.002				
						(0.064)		(0.068)				
one_minus_mpimax_max									0.480***	0.518***	0.392***	0.440***
									(0.064)	(0.079)	(0.057)	(0.076)
one_minus_mpimax_dist									-0.229***	-0.212***	-0.172***	-0.170***
									(0.044)	(0.054)	(0.041)	(0.054)
mpi_end_max										-0.144		-0.158
										(0.123)		(0.126)
mpi_end_dist										-0.027		-0.004
										(0.065)		(0.066)
Constant	0.561***	0.577***	0.755***	0.759***	0.449***	0.464***	0.928***	0.923***	0.466***	0.421***	0.759***	0.704***
	(0.080)	(0.093)	(0.143)	(0.153)	(0.062)	(0.066)	(0.235)	(0.244)	(0.063)	(0.075)	(0.143)	(0.152)
												
Observations	1,304	1,304	1,257	1,257	1,304	1,304	1,257	1,257	1,304	1,304	1,257	1,257
R-squared	0.105	0.107	0.204	0.205	0.117	0.118	0.198	0.199	0.112	0.115	0.213	0.215
Robust standard errors in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
Robust SE clustered by class												
