WARP_Violations,#Pairs,GARP_Violations,#Pairs,SARP_Violations,#Pairs,AFRIAT_Index,VARIAN_Index_Min,VARIAN_Index_Mean,VARIAN_Index_AVG(SSQ),Is exact,Houtman-Maks-Index,Is exact,Subject
8,4,28,24,62,31,0.16693,0.16693,0.010221,0.039463,2,0.16667,1,21104051
14,7,33,26,60,30,0.30002,0.30002,0.037444,0.086402,2,0.16667,1,21104052
12,6,22,16,32,16,0.16787,0.16787,0.020886,0.050709,1,0.22222,1,21104061
4,2,4,2,4,2,0.088067,0.088067,0.0062315,0.021521,1,0.11111,1,21104062
14,7,81,74,210,105,0.25996,0.25996,0.027385,0.089407,2,0.16667,1,21104071
26,13,114,101,240,120,0.14559,0.53639,0.08405,0.15032,3,0.27778,1,21104072
16,8,53,45,122,61,0.34853,0.34853,0.049692,0.11634,2,0.22222,1,21104081
18,9,76,67,182,91,0.52375,0.52375,0.049952,0.14626,2,0.22222,1,21104091
12,6,19,13,26,13,0.10148,0.10148,0.014664,0.03271,1,0.22222,1,21104092
22,11,81,70,182,91,0.15554,0.15554,0.030969,0.056926,2,0.16667,1,21104111
4,2,6,4,8,4,0.039058,0.039058,0.002958,0.0097945,1,0.11111,1,21104121
30,15,138,123,272,136,0.2554,0.64333,0.21513,0.28754,3,0.33333,1,21104131
14,7,35,28,76,38,0.15357,0.15357,0.021731,0.047781,2,0.16667,1,21104132
16,8,34,26,54,27,0.10999,0.10999,0.018085,0.03593,2,0.22222,1,21104141
30,15,96,81,184,92,0.21422,0.37998,0.15238,0.18978,3,0.22222,1,21104151
14,7,66,59,132,66,0.21442,0.21442,0.03634,0.076266,2,0.22222,1,21104152
28,14,79,65,156,78,0.22556,0.42457,0.189,0.24686,3,0.27778,1,21104161
20,10,35,25,60,30,0.29084,0.29084,0.045411,0.10974,2,0.27778,1,21104162
10,5,46,41,90,45,0.074991,0.074991,0.0055597,0.018229,2,0.11111,1,21104171
4,2,4,2,4,2,0.02999,0.02999,0.0029802,0.0090027,1,0.11111,1,21104181
14,7,38,31,90,45,0.10267,0.19223,0.014927,0.05103,2,0.16667,1,21104191
16,8,24,16,38,19,0.27279,0.27279,0.034717,0.089529,1,0.22222,1,21104192
14,7,52,45,102,51,0.19145,0.19145,0.026844,0.059605,2,0.22222,1,21104201
30,15,112,97,240,120,0.42659,0.67473,0.19241,0.28323,3,0.33333,1,21104211
6,3,7,4,8,4,0.080708,0.080708,0.0045178,0.019024,1,0.11111,1,21104221
20,10,48,38,90,45,0.33211,0.33211,0.050999,0.11744,2,0.22222,1,21104231
10,5,11,6,12,6,0.030296,0.030296,0.005161,0.011356,1,0.22222,1,21201011
6,3,14,11,22,11,0.27277,0.27277,0.015304,0.064295,1,0.11111,1,21201012
36,18,152,134,306,153,0.20396,0.77062,0.18517,0.26722,3,0.27778,1,21201021
36,18,142,124,272,136,0.29655,0.65566,0.21582,0.30677,3,0.33333,1,21201022
10,5,18,13,32,16,0.1471,0.1471,0.0094595,0.039308,1,0.11111,1,21201031
16,8,70,62,156,78,0.18553,0.18553,0.015869,0.047595,2,0.16667,1,21201032
6,3,14,11,26,13,0.47572,0.47572,0.027477,0.11222,1,0.11111,1,21201041
14,7,126,119,272,136,0.2403,0.2403,0.023792,0.064376,2,0.11111,1,21201051
30,15,102,87,182,91,0.32893,0.47172,0.14739,0.21221,3,0.27778,1,21201061
22,11,66,55,120,60,0.28423,0.28423,0.036304,0.082951,2,0.22222,1,21201062
36,18,140,122,272,136,0.52538,0.67363,0.30485,0.37844,3,0.27778,1,21201071
14,7,37,30,78,39,0.34188,0.34188,0.036753,0.10077,2,0.16667,1,21201072
22,11,88,77,182,91,0.54608,0.54608,0.051082,0.13719,2,0.27778,1,21201081
16,8,31,23,50,25,0.21273,0.21273,0.025416,0.063268,2,0.27778,1,21201082
24,12,95,83,210,105,0.38708,0.38708,0.044723,0.10594,2,0.22222,1,21201091
10,5,28,23,58,29,0.16783,0.16783,0.023942,0.056427,2,0.22222,1,21201101
24,12,49,37,102,51,0.23273,0.23273,0.035568,0.078286,2,0.27778,1,21201111
20,10,51,41,84,42,0.25576,0.25576,0.030457,0.070701,2,0.27778,1,21201131
14,7,34,27,62,31,0.21018,0.21018,0.022463,0.060694,2,0.16667,1,21201132
8,4,9,5,10,5,0.088634,0.088634,0.0065262,0.021519,1,0.16667,1,21201141
16,8,51,43,110,55,0.24299,0.24299,0.024056,0.066646,2,0.22222,1,21201142
24,12,77,65,156,78,0.44196,0.44196,0.044067,0.12226,2,0.16667,1,21201161
28,14,108,94,210,105,0.23245,0.39169,0.12895,0.17593,3,0.27778,1,21201162
10,5,39,34,78,39,0.20874,0.20874,0.022488,0.059306,2,0.11111,1,21201171
50,25,153,128,306,153,0.25278,0.45182,0.16316,0.20803,3,0.33333,1,21201181
16,8,28,20,44,22,0.24674,0.24674,0.020979,0.061495,2,0.22222,1,21201201
6,3,14,11,26,13,0.18091,0.18091,0.011217,0.042927,1,0.11111,1,21201211
18,9,85,76,184,92,0.31607,0.31607,0.040234,0.097608,2,0.16667,1,21202011
12,6,28,22,50,25,0.27712,0.27712,0.022806,0.069888,2,0.22222,1,21202012
8,4,18,14,32,16,0.13966,0.13966,0.020487,0.045854,1,0.16667,1,21202021
16,8,89,81,210,105,0.29697,0.29697,0.032819,0.083779,2,0.22222,1,21202022
22,11,87,76,182,91,0.46991,0.46991,0.070618,0.15814,2,0.22222,1,21202031
4,2,6,4,8,4,0.1574,0.1574,0.013562,0.042356,1,0.11111,1,21202032
8,4,14,10,20,10,0.13421,0.13421,0.0086903,0.031991,1,0.16667,1,21202041
12,6,20,14,30,15,0.15554,0.15554,0.015686,0.042668,1,0.16667,1,21202042
8,4,20,16,36,18,0.052029,0.052029,0.004816,0.013494,1,0.16667,1,21202061
6,3,7,4,8,4,0.037682,0.037682,0.0027046,0.0092525,1,0.11111,1,21202062
8,4,16,12,32,16,0.1414,0.1414,0.013228,0.03716,1,0.11111,1,21202071
16,8,79,71,182,91,0.38025,0.38025,0.063848,0.13174,2,0.11111,1,21202081
18,9,43,34,92,46,0.13263,0.13263,0.012409,0.0367,2,0.22222,1,21202082
14,7,30,23,56,28,0.19908,0.19908,0.032968,0.069994,2,0.16667,1,21202091
8,4,9,5,10,5,0.080139,0.080139,0.01124,0.02729,1,0.16667,1,21202092
18,9,70,61,162,81,0.28468,0.28468,0.032154,0.075595,2,0.27778,1,21202101
14,7,42,35,110,55,0.38071,0.38071,0.037341,0.10337,2,0.22222,1,21202102
32,16,99,83,182,91,0.38196,0.58145,0.25754,0.32366,3,0.27778,1,21202111
22,11,71,60,132,66,0.23191,0.23191,0.035858,0.086273,2,0.27778,1,21202112
20,10,101,91,240,120,0.31957,0.31957,0.038098,0.098767,2,0.22222,1,21202121
22,11,75,64,162,81,0.56712,0.56712,0.050376,0.14579,2,0.33333,1,21202131
10,5,45,40,112,56,0.16779,0.16779,0.012346,0.041446,2,0.16667,1,21202141
26,13,73,60,128,64,0.47264,0.6715,0.1734,0.27087,3,0.27778,1,21202151
6,3,17,14,32,16,0.070637,0.070637,0.006559,0.018471,1,0.16667,1,21202161
2,1,2,1,2,1,0.016008,0.016008,0.00088931,0.003773,1,0.055556,1,21202171
6,3,32,29,74,37,0.19438,0.19438,0.014512,0.048449,2,0.11111,1,21202191
8,4,14,10,20,10,0.071298,0.071298,0.0053297,0.01778,1,0.11111,1,21202211
20,10,48,38,90,45,0.060974,0.060974,0.0095759,0.020381,2,0.22222,1,21203011
28,14,92,78,182,91,0.28212,0.6658,0.18806,0.26436,3,0.27778,1,21203012
12,6,32,26,56,28,0.14246,0.14246,0.022983,0.053792,2,0.16667,1,21203021
12,6,82,76,182,91,0.18122,0.18122,0.023258,0.061094,2,0.16667,1,21203022
16,8,66,58,156,78,0.27548,0.27548,0.030485,0.078493,2,0.22222,1,21203031
12,6,30,24,56,28,0.48848,0.48848,0.038212,0.11967,2,0.16667,1,21203032
4,2,12,10,20,10,0.36058,0.36058,0.020032,0.084989,1,0.055556,1,21203041
22,11,54,43,116,58,0.11343,0.11343,0.018153,0.036254,2,0.27778,1,21203042
12,6,38,32,72,36,0.28261,0.28261,0.031947,0.08873,2,0.16667,1,21203051
32,16,141,125,272,136,0.24517,0.35366,0.15819,0.19288,3,0.33333,1,21203052
20,10,72,62,132,66,0.14148,0.14148,0.018774,0.050298,2,0.16667,1,21203061
6,3,53,50,156,78,0.078938,0.078938,0.0086228,0.025872,2,0.055556,1,21203071
12,6,57,51,156,78,0.34469,0.34469,0.028173,0.093553,2,0.11111,1,21203072
12,6,20,14,32,16,0.23446,0.23446,0.02902,0.072415,1,0.22222,1,21203081
16,8,49,41,84,42,0.32409,0.32409,0.049902,0.10701,2,0.22222,1,21203091
16,8,54,46,156,78,0.26241,0.26241,0.032905,0.080809,2,0.16667,1,21203092
28,14,97,83,182,91,0.29487,0.66425,0.16417,0.25903,3,0.22222,1,21203111
22,11,52,41,96,48,0.44406,0.44406,0.047346,0.15226,2,0.16667,1,21203121
14,7,39,32,68,34,0.47101,0.47101,0.035469,0.11746,2,0.16667,1,21203122
6,3,6,3,6,3,0.055015,0.055015,0.0044205,0.013873,1,0.16667,1,21203131
4,2,17,15,32,16,0.063171,0.063171,0.006888,0.020668,1,0.11111,1,21203151
28,14,129,115,272,136,0.31116,0.50529,0.15057,0.21159,3,0.33333,1,21203161
8,4,21,17,42,21,0.11566,0.11566,0.01177,0.03546,1,0.11111,1,21203171
28,14,63,49,110,55,0.22606,0.68665,0.14539,0.23587,3,0.38889,1,21203172
32,16,126,110,240,120,0.25872,0.3673,0.12153,0.16136,3,0.38889,1,21203181
28,14,69,55,132,66,0.187,0.41238,0.12626,0.18868,3,0.22222,1,21203191
10,5,13,8,16,8,0.067077,0.067077,0.0082655,0.021846,1,0.22222,1,21203211
14,7,28,21,62,31,0.20578,0.20578,0.027989,0.065293,2,0.22222,1,21204011
14,7,23,16,34,17,0.14204,0.14204,0.02266,0.048237,1,0.22222,1,21204012
38,19,98,79,182,91,0.32251,0.60942,0.2585,0.32334,3,0.33333,1,21204021
14,7,35,28,74,37,0.36362,0.36362,0.042761,0.11143,2,0.22222,1,21204022
20,10,133,123,272,136,0.28728,0.28728,0.032341,0.084044,2,0.16667,1,21204031
10,5,39,34,90,45,0.22952,0.22952,0.026083,0.075155,2,0.16667,1,21204051
36,18,152,134,306,153,0.39348,0.49362,0.28212,0.32177,3,0.33333,1,21204052
30,15,126,111,272,136,0.38676,0.49602,0.19126,0.25613,3,0.27778,1,21204061
12,6,45,39,90,45,0.15382,0.15382,0.019166,0.045317,2,0.16667,1,21204062
36,18,135,117,272,136,0.26174,0.37676,0.1883,0.22646,3,0.22222,1,21204071
18,9,40,31,68,34,0.33792,0.33792,0.042814,0.098342,2,0.22222,1,21204081
12,6,23,17,36,18,0.24279,0.24279,0.027625,0.075211,1,0.16667,1,21204082
16,8,31,23,72,36,0.146,0.146,0.019863,0.053844,2,0.16667,1,21204091
24,12,123,111,240,120,0.17678,0.19105,0.034634,0.07204,2,0.22222,1,21204092
18,9,86,77,184,92,0.14107,0.14107,0.020523,0.047826,2,0.16667,1,21204101
8,4,22,18,36,18,0.069221,0.069221,0.0067148,0.019552,1,0.16667,1,21204111
2,1,2,1,2,1,0.019329,0.019329,0.0010739,0.004556,1,0.055556,1,21204112
12,6,68,62,156,78,0.5097,0.5097,0.04894,0.13338,2,0.16667,1,21204121
48,24,150,126,272,136,0.35579,0.62064,0.22374,0.28505,3,0.38889,1,21204122
