	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	dt_share	dt_share	dt_share	dt_share	dt_share	dt_share	dt_share
							
	(0.086)	(0.059)	(0.038)	(0.039)	(0.049)	(0.084)	(0.042)
distance_03	0.037	0.079	-0.029	0.032	0.005	0.106**	0.086**
	(0.088)	(0.060)	(0.037)	(0.036)	(0.037)	(0.044)	(0.040)
distance_04	0.002	0.067	-0.033	0.023	0.003	0.048	0.054
	(0.089)	(0.061)	(0.038)	(0.036)	(0.037)	(0.036)	(0.035)
distance_05	-0.066	0.087	-0.020	0.013	-0.020	0.043	0.027
	(0.104)	(0.068)	(0.040)	(0.038)	(0.037)	(0.034)	(0.033)
distance_06to11	0.143	0.021	-0.012	-0.004	-0.019	0.039	0.026
	(0.102)	(0.087)	(0.050)	(0.041)	(0.039)	(0.034)	(0.038)
Constant	0.581*	0.173	0.285	0.307	-0.142	0.044	0.572
	(0.313)	(0.255)	(0.222)	(0.188)	(0.234)	(0.292)	(0.356)
							
Observations	2,926	4,832	5,554	4,610	2,562	1,198	735
R-squared	0.049	0.058	0.069	0.058	0.077	0.082	0.122
Robust standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
