	(1)	(2)	(3)	(4)	(5)
VARIABLES	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS	Pooled OLS
					
24101.class	0.063***	0.066***	0.097***	0.076***	0.078***
	(0.003)	(0.004)	(0.008)	(0.008)	(0.008)
24102.class	0.070***	0.073***	0.103***	0.078***	0.080***
	(0.004)	(0.005)	(0.009)	(0.009)	(0.009)
24104.class	-0.006***	-0.004	0.004	0.009	0.010
	(0.002)	(0.003)	(0.006)	(0.006)	(0.007)
24105.class	0.022***	0.024***	0.038***	0.036***	0.037***
	(0.002)	(0.003)	(0.010)	(0.010)	(0.010)
25101.class	0.035***	0.036***	0.051***	0.030**	0.032**
	(0.004)	(0.004)	(0.011)	(0.013)	(0.013)
25105.class	0.040***	0.042***	0.048***	0.025	0.028*
	(0.004)	(0.004)	(0.013)	(0.015)	(0.016)
25107.class	-0.014***	-0.011***	-0.039**	-0.023	-0.019
	(0.003)	(0.004)	(0.015)	(0.014)	(0.014)
25112.class	0.070***	0.073***	0.062***	0.072***	0.075***
	(0.004)	(0.005)	(0.014)	(0.014)	(0.014)
26101.class	0.035***	0.037***	0.078***	0.052***	0.052***
	(0.004)	(0.004)	(0.011)	(0.011)	(0.011)
26102.class	0.067***	0.069***	0.099***	0.081***	0.081***
	(0.003)	(0.003)	(0.010)	(0.009)	(0.009)
26103.class	0.028***	0.031***	0.075***	0.047***	0.048***
	(0.004)	(0.004)	(0.012)	(0.012)	(0.012)
26104.class	0.031***	0.032***	0.066***	0.059***	0.059***
	(0.001)	(0.002)	(0.009)	(0.008)	(0.009)
mathscore_max			0.010**	0.006	0.006
			(0.004)	(0.004)	(0.004)
mathscore_dist			-0.003	-0.001	-0.001
			(0.003)	(0.003)	(0.003)
mathscore_max_missing			0.163***	0.165***	0.155***
			(0.012)	(0.046)	(0.040)
mathscore_dist_missing			-0.053***	-0.043	-0.024
			(0.006)	(0.045)	(0.041)
height_max			-0.001	-0.001	-0.001
			(0.001)	(0.001)	(0.001)
height_dist			0.001	0.001	0.001
			(0.001)	(0.001)	(0.001)
1o.malepair_co			-	-	-
					
2.malepair_co			-0.003	-0.002	-0.002
			(0.016)	(0.016)	(0.016)
3.malepair_co			0.026	0.023	0.023
			(0.016)	(0.018)	(0.018)
4o.malepair_co			-	-	-
					
inclass_n_friends_max			0.005**	0.005**	0.004**
			(0.002)	(0.002)	(0.002)
inclass_n_friends_dist			-0.006**	-0.005**	-0.005**
			(0.003)	(0.003)	(0.003)
inclass_popularity_max			0.001	0.002	0.002
			(0.002)	(0.002)	(0.002)
inclass_popularity_dist			-0.001	-0.001	-0.001
			(0.003)	(0.002)	(0.002)
outgoing_max			-0.005	-0.004	-0.004
			(0.006)	(0.006)	(0.006)
outgoing_dist			0.011*	0.008	0.008
			(0.006)	(0.005)	(0.005)
opened_max			0.000	-0.002	-0.002
			(0.007)	(0.007)	(0.007)
opened_dist			0.004	0.002	0.002
			(0.007)	(0.007)	(0.007)
agreeable_max			-0.019***	-0.018***	-0.018***
			(0.007)	(0.006)	(0.006)
agreeable_dist			0.008	0.007	0.008
			(0.007)	(0.007)	(0.007)
conscientious_dist			0.003	0.006	0.006
			(0.007)	(0.006)	(0.006)
conscientious_max			-0.001	-0.002	-0.001
			(0.007)	(0.006)	(0.006)
stable_max			-0.002	-0.004	-0.004
			(0.007)	(0.006)	(0.006)
stable_dist			-0.007	-0.008	-0.007
			(0.008)	(0.007)	(0.007)
o.big5_max_missing			-	-	-
					
big5_dist_missing			-0.032	0.014	0.002
			(0.027)	(0.031)	(0.030)
ccei_max	0.362***	0.350***		0.349***	0.330***
	(0.083)	(0.099)		(0.081)	(0.096)
ccei_dist	-0.234***	-0.271***		-0.227***	-0.265***
	(0.046)	(0.058)		(0.045)	(0.058)
endline		0.028			-0.002
		(0.186)			(0.186)
end_max		-0.027			0.003
		(0.187)			(0.188)
end_dist		0.078			0.078
		(0.074)			(0.075)
Constant	0.575***	0.584***	1.052***	0.746***	0.766***
	(0.079)	(0.094)	(0.136)	(0.153)	(0.164)
					
Observations	1,304	1,304	1,304	1,304	1,304
R-squared	0.166	0.169	0.119	0.189	0.191
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
Robust SE clustered by class					
