="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)",="(73)",="(74)",="(75)",="(76)",="(77)",="(78)",="(79)",="(80)",="(81)",="(82)",="(83)",="(84)",="(85)",="(86)"
="",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig"
="0.HighCCEI",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="1.HighCCEI",="-0.431**",="-0.450**",="-0.426**",="-0.454**",="-0.693**",="-0.401**",="-0.348",="-0.326**",="-0.328*",="-0.452**",="-0.477+",="-0.374**",="-0.757*",="-0.350**",="-0.365**",="-0.452**",="-0.302**",="-0.401**",="-0.347**",="-0.397**",="-0.287**",="-0.375**",="-0.391**",="-0.407**",="-0.397**",="-0.392**",="-0.232+",="-0.405**",="-0.429**",="-0.429**",="-0.415**",="-0.415**",="-0.585**",="-0.585**",="-0.049",="-0.272**",="-0.489",="-0.360**",="-0.182",="-0.365**",="-0.019",="-0.358**",="-0.160",="-0.310**",="-0.469**",="-0.431**",="-0.464**",="-0.430**",="-0.451**",="-0.415**",="-0.409**",="-0.398**",="-0.430**",="-0.410**",="-0.620**",="-0.500**",="-0.538**",="-0.458**",="-0.309",="-0.382**",="-0.404*",="-0.432**",="-0.173",="-0.430**",="-0.318",="-0.456**",="-0.168",="-0.349**",="-0.558+",="-0.432**",="-0.308",="-0.437**",="-0.194",="-0.394**",="-0.435",="-0.398**",="-0.305",="-0.375**",="-0.790**",="-0.387**",="-0.686**",="-0.355**",="-0.463**",="-0.414**",="-0.407**",="-0.426**"
="",="(0.151)",="(0.036)",="(0.159)",="(0.040)",="(0.209)",="(0.053)",="(0.251)",="(0.060)",="(0.154)",="(0.035)",="(0.247)",="(0.056)",="(0.342)",="(0.075)",="(0.076)",="(0.039)",="(0.085)",="(0.042)",="(0.078)",="(0.030)",="(0.082)",="(0.031)",="(0.043)",="(0.029)",="(0.040)",="(0.027)",="(0.136)",="(0.081)",="(0.035)",="(0.035)",="(0.029)",="(0.029)",="(0.154)",="(0.154)",="(0.261)",="(0.059)",="(0.321)",="(0.062)",="(0.338)",="(0.066)",="(0.176)",="(0.043)",="(0.241)",="(0.045)",="(0.047)",="(0.029)",="(0.033)",="(0.025)",="(0.039)",="(0.027)",="(0.044)",="(0.027)",="(0.037)",="(0.026)",="(0.149)",="(0.072)",="(0.083)",="(0.045)",="(0.205)",="(0.061)",="(0.188)",="(0.049)",="(0.265)",="(0.050)",="(0.269)",="(0.067)",="(0.209)",="(0.057)",="(0.315)",="(0.078)",="(0.241)",="(0.055)",="(0.263)",="(0.068)",="(0.263)",="(0.061)",="(0.218)",="(0.061)",="(0.234)",="(0.069)",="(0.217)",="(0.059)",="(0.047)",="(0.025)",="(0.050)",="(0.026)"
="peer_sociable_i_ct",="-0.006",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.044)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="0.HighCCEI#c.peer_sociable_i_ct",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="1.HighCCEI#c.peer_sociable_i_ct",="0.012",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
